STATE ID,STATE,Regular,Mid-Grade,Premium,Diesel,Monthly Water Bill,Internet,Natural Gas,Waste,PublicTransportation
AL,Alabama,3.27,3.68,4.07,3.85,30,35,81,32,45
AK,Alaska,4.37,4.59,4.84,3.95,68,50,164,32,60
AS,American Samoa,3.6,0,0,3.75,25,145,40,32,30
AZ,Arizona,4.13,4.47,4.75,4.08,64,20,82,32,56
AR,Arkansas,3.23,3.61,4,3.73,26,30,65,32,36
CA,California,5.46,5.67,5.84,5.45,77,40,34,32,100
CO,Colorado,3.12,3.48,3.8,3.66,39,30,47,32,88
CT,Connecticut,3.53,4.04,4.43,4.22,69,38,107,32,63
DE,Delaware,3.47,3.97,4.24,4,46,30,80,32,120
DC,DC,3.74,4.3,4.7,4.37,33,30,105,32,192
FL,Florida,3.64,4.05,4.36,3.95,28,30,118,32,85
GA,Georgia,3.43,3.87,4.25,4,64,45,122,32,95
GU,Guam,5.29,6.19,6.39,6.61,120,75,135,32,25
HI,Hawaii,4.78,4.98,5.24,5.57,38,30,40,32,80
ID,Idaho,3.93,4.15,4.4,4.04,26,30,97,32,90
IL,Illinois,3.97,4.47,4.9,4.13,30,30,122,32,75
IN,Indiana,3.57,4.07,4.53,4.07,32,50,73,32,0
IA,Iowa,3.32,3.63,4.05,3.79,27,20,106,32,0
KS,Kansas,3.27,3.58,3.89,3.73,49,35,94,32,0
KY,Kentucky,3.32,3.79,4.19,3.85,21,20,55,32,0
LA,Louisiana,3.18,3.58,3.94,3.74,24,45,104,32,0
ME,Maine,3.48,3.88,4.28,4.27,24,45,104,32,0
MD,Maryland,3.69,4.23,4.51,4.1,46,30,80,32,0
MA,Massachusetts,3.41,3.94,4.29,4.23,34,30,77,32,0
MI,Michigan,3.65,4.15,4.65,4.09,29,30,74,32,0
MN,Minnesota,3.31,3.66,4.06,3.82,28,30,55,32,0
MS,Mississippi,3.11,3.51,3.88,3.7,23,30,63,32,0
MO,Missouri,3.34,3.69,3.98,3.71,39,20,108,32,0
MT,Montana,3.6,3.91,4.21,4.05,38,45,37,32,0
NE,Nebraska,3.41,3.6,4.04,3.74,23,20,68,32,0
NV,Nevada,4.64,4.9,5.13,4.22,26,20,56,32,0
NH,New Hampshire,3.38,3.83,4.25,4.2,27,30,90,32,0
NJ,New Jersey,3.44,3.94,4.2,4.02,72,40,66,32,0
NM,New Mexico,3.27,3.64,3.93,3.8,32,30,60,32,0
NY,New York,3.56,4.03,4.4,4.4,30,30,96,32,133
NC,North Carolina,3.38,3.79,4.17,3.96,20,35,63,32,0
ND,North Dakota,3.41,3.74,4.06,3.82,31,30,62,32,0
MP,Northerm Mariana Isl,5.21,0,0,0,49,60,102,32,0
OH,Ohio,3.6,4.03,4.5,4.02,27,25,148,32,0
OK,Oklahoma,3.23,3.57,3.84,3.61,35,20,71,32,0
OR,Oregon,4.44,4.66,4.9,4.3,76,30,32,32,0
PA,Pennsylvania,3.75,4.14,4.48,4.51,31,30,103,32,0
PR,Puerto Rico,3.75,0,0,0,80,49.99,125,32,0
RI,Rhode Island,3.43,4.05,4.38,4.29,32,20,95,32,0
SC,South Carolina,3.26,3.66,4.02,3.81,33,25,96,32,0
SD,South Dakota,3.39,3.55,3.97,3.71,26,50,50,32,0
TN,Tennessee,3.27,3.68,4.04,3.83,43,30,66,32,0
TX,Texas,3.27,3.67,4.01,3.67,37,30,61,32,0
UT,Utah,3.97,4.19,4.41,3.86,38,30,35,32,0
VT,Vermont,3.47,3.97,4.36,4.13,18,30,89,32,0
VI,Virgin Islands,4.69,0,4.89,4.4,75,111,100,32,0
VA,Virginia,3.52,3.95,4.31,4.02,36,20,80,32,0
WA,Washington,4.67,4.92,5.13,4.73,75,30,33,32,0
WV,West Virginia,3.59,3.99,4.39,4.01,91,38,69,32,0
WI,Wisconsin,3.43,3.88,4.32,3.83,18,40,77,32,0
WY,Wyoming,3.38,3.64,3.91,3.85,53,45,43,32,0
